,Question,Answer,Label,predicted_label
2016,What challenges and implementation issues are associated with the use of Exams?,"Some challenges and implementation issues associated with the use of Exams include potential drawbacks and the need for measures to increase their usage. These issues are identified in a systematic overview of literature on the topic, which highlights the mechanical and functional properties of Exams and their various designs and forms.",analysis,analysis
2018,What measures may need to be taken to account for the higher speeds of Exams?,"Existing infrastructure designed for bicycles and walking may need to be re-designed to account for the higher speeds of Exams, and additional safety measures may need to be taken to keep pedestrians and riders safe.",strategy,strategy
2020,What data source did Angelika Antipodal use to measure journey-to-work patterns?,Angelika Antipodal used the 2012-2016 Census Transportation Planning Products (CTPP).,science_and_tech,science_and_tech
2032,How does the minimum cost principle affect the location choices of public housing projects?,"It results in constrained location choices, often in peripheral neighbourhoods with limited transport infrastructure.",strategy,analysis
2034,How have recent trends in public policymaking impacted housing policy?,They have tended to reduce the scope of housing policy to only address the needs of the least affluent households.,analysis,analysis
2039,What are some early examples of initiatives that sought to redefine the understanding of transport?,Early examples include Cleveland's equity planning initiative in the 1960s and the Transit Equity Movement of Los Angeles' Bus Riders Union in the 1990s.,analysis,strategy
2043,How can socially sustainable accessibility be defined?,"Socially sustainable accessibility can be defined as a measure of access to opportunities for vulnerable population groups using means of travel with a low environmental impact. It takes into consideration criteria such as gender, age, income, ethnicity, disability, and housing situation.",taxonomy,taxonomy
2046,How has the preference of the middle class for more accessible areas affected residential patterns?,"The middle class's preference for more accessible areas has led to accessibility-induced gentrification, where these areas become more sought after and potentially unaffordable for vulnerable households.",analysis,analysis
2051,What is the median housing price per square metre in PoonaÂ´n as of 2020?,The median housing price per square metre in PoonaÂ´n as of 2020 is 6500 PLN (1 EUR = ca. 4.5 PLN).,science_and_tech,science_and_tech
2055,How can accessibility be defined in general terms?,"Accessibility can be defined as ""the potential of opportunities for interaction"" or the ability to overcome barriers created by spatial separation.",taxonomy,taxonomy
2056,What are the three established approaches to accessibility measurement?,"The three established approaches to accessibility measurement are: 1) The Nearest opportunity, 2) Cumulative opportunities measure, and 3) Gravity-based measures.",taxonomy,taxonomy
2058,What percentile value is assigned to the calculated travel times?,"The calculated travel times within the time window are assigned a percentile value of 50, which represents the median travel time within the specified time window.",science_and_tech,analysis
2059,What sources were used to gather data on social housing units and market-rate transactions in PoonaÂ´n?,Data on social housing units was obtained from the websites of social housing providers. Data on market-rate transactions were drawn from the City of PoonaÂ´n.,science_and_tech,science_and_tech
2067,What were the accessibility scores for low-income social housing compared to middle-income social housing and market-rate housing?,The accessibility scores for low-income social housing were much lower than those for middle-income social housing and market-rate housing.,analysis,analysis
2081,"How have travel behaviours, housing choices, satisfaction, and flat prices been affected by the first rapid tram line in Poland, according to GadiÂ´ski and Adamski (2016)?","According to GadiÂ´ski and Adamski (2016), the first rapid tram line in Poland has affected travel behaviours, housing choices, satisfaction, and flat prices.",analysis,analysis
2093,"What is meant by the term ""avoidable crashes""?","Avoidable"" in this context means that we know what to do in order to prevent crashes and that it is cost-beneficial in societal terms to do this.",taxonomy,taxonomy
2094,Why was the vision of sustainable safety updated?,"The vision was updated based on new insights and developments, as well as the evaluation of the results of previous efforts. There was also a high demand from practitioners to develop sustainable safety for specific problem areas or problem groups.",strategy,strategy
2098,What are some factors that are taken into account in safety legislation and enforcement?,Some factors that are taken into account in safety legislation and enforcement include alcohol consumption in traffic and mandatory use of crash helmets and seat belts.,ethics_and_regulation,ethics_and_regulation
2115,Why are mopeds popular among young people despite their high risk in traffic?,"Mopeds are popular among young people who have yet to obtain a driving licence because they provide a means of transportation before they are legally allowed to drive a car. However, this group already has a relatively high risk in traffic due to age-specific characteristics, lack of experience, and the combination of high speed and low mass of the vehicle.",strategy,science_and_tech
2127,How is governmental organization affecting road safety in The Netherlands?,"In The Netherlands, governmental organization is decentralized but also influenced by Europe. This includes decreased funding and staff capacity, less central regulation, and fewer inspections. How is this affecting road safety?",ethics_and_regulation,science_and_tech
2148,What was the most significant step taken in the Netherlands to implement sustainable safety measures?,"The most important step was the implementation of the Sustainable Safety Start-Up Programme, which involved a covenant with 24 agreements between four levels of administration to improve road safety measures in line with the vision of sustainable safety.",strategy,strategy
2154,What is the estimated reduction in road fatalities and hospital admissions as a result of implementing sustainable safety measures?,The estimated reduction is 9.7% in road fatalities and 4.1% in hospital admissions.,analysis,analysis
2157,Why is specific knowledge of subjects like flow/access and the environment important?,Specific knowledge of these subjects is essential in order to make informed decisions and choices regarding road safety.,analysis,strategy
2161,Why do road authorities struggle with deciding how to design and construct distributor roads and access roads outside urban areas?,Road authorities struggle because there is a lack of understanding and implementation of the principles of recognizability and predictability of road course and other road users' behaviour.,analysis,strategy
2162,What is the importance of vehicle safety in the sustainable safety vision?,"Vehicle safety is important because the outcome of certain crash types is determined by crash speed and direction, as well as the protection provided by the vehicle to the occupants and crash partners.",strategy,strategy
2168,What are the five behavioural themes that education should aim at in relation to road safety?,"The five behavioural themes that education should aim at in relation to road safety are: creating an understanding of the road safety problem and acceptance of sustainable safety measures, encouraging conscious strategic choices, counteracting intentional violations, preventing the development of undesirable or incorrect behaviour, and preparing novices.",taxonomy,strategy
2171,How much of a reduction in casualties could be achieved if everyone complied with existing speed limits?,"SWOT estimated that if everyone complied with existing speed limits, there would be a reduction of 25-30% in the number of casualties.",analysis,analysis
2174,How has police enforcement on alcohol use changed since 2000?,"Police enforcement on alcohol use has doubled since 2,000 especially with the establishment of dedicated traffic police enforcement teams.",strategy,analysis
2180,Should the alcohol interlock system be introduced in The Netherlands?,"Yes, the alcohol interlock system should be introduced in The Netherlands as quickly as possible.",ethics_and_regulation,strategy
2184,How can pedestrian and cyclist safety be improved in areas where high-speed traffic cannot be separated?,"In areas where high-speed traffic cannot be separated, measures such as ""friendly"" car fronts and under-run protection for heavy goods vehicles and buses can be implemented to minimize the seriousness of injuries in case of a conflict. Additionally, targeted speed reduction for motorized vehicles can also help improve pedestrian and cyclist safety.",strategy,strategy
2200,What are the two new principles added to the sustainable safety vision?,The two new principles added to the sustainable safety vision are state awareness of the road user and forgivingness in a physical and social way.,taxonomy,strategy
2202,What is the basic idea behind a sustainably safe traffic system?,"The basic idea is that road users are fallible and physically vulnerable, and therefore the system should be designed to accommodate and protect them.",taxonomy,strategy
2203,How can the advanced sustainable safety vision inspire improvements in road safety?,"The vision can serve as a basis for developing specific measures, timing, organization, and financing strategies that are tailored to different countries and their unique circumstances.",strategy,strategy
2218,Why are active modes of transportation and public transport more attractive in urban areas?,"Active modes of transportation and public transport are more attractive in urban areas because of the higher density, which makes it easier and more convenient to walk, bike, or use public transportation.",strategy,analysis
2229,What is the number one environmental concern in the Paris area according to a 2018 survey?,"According to a 2018 survey, air pollution is the number one environmental concern in the Paris area. 61% of respondents believe that air pollution has increased in the past ten years.",analysis,analysis
2231,What percentage of local pollutant emissions in the Paris area is attributed to road traffic?,"Road traffic is responsible for a significant share of local pollutant emissions in the Paris area. In 2,018 it accounted for 53% of nitrogen oxides (NOX) emissions and 19% of PM2.5 emissions (Airpark, 2021).",analysis,analysis
2232,What is the timeline for banning diesel and petrol cars in the Paris metropolitan area?,The Paris metropolitan area plans to ban diesel cars by 2024 and petrol cars by 2030 in order to reduce local air pollution and CO2 emissions from cars.,strategy,ethics_and_regulation
2240,What are some predictors used to estimate the continuous income variable?,"Some predictors used to estimate the continuous income variable include age, age squared, gender, education level and socio-economic class of the household head, socio-economic category of their partner, number of household members working full-time and part-time, housing status of the household, and whether the household is eligible for family allowances based on the number and age of children (to proxy for social transfers).",science_and_tech,analysis
2244,What is the average net household income per consumption unit in 2010?,"The average net household income per consumption unit in 2010 is Â24,298.50.",science_and_tech,science_and_tech
2248,What factors contribute to the large variation in emission intensity values for journey stages done with a car owned by the household?,"The large variation in emission intensity values for journey stages done with a car owned by the household can be attributed to the heterogeneity in emission intensities, particularly for NOX, and the inclusion of old light-commercial vehicles in the car category.",analysis,analysis
2258,How do daily emissions contribute to inequality?,"According to Lorenz curves, the top 20% of NOX emitters contribute 85% of NOX emissions, the middle 48% contribute 15%, and the bottom 32% have a zero contribution. Similarly, the top 20% of PM2.5 emitters contribute 78% of PM2.5 emissions, the middle 62% contribute 22%, and the bottom 18% have a zero contribution. And for CO2 emissions, the top 20% of emitters contribute 75%, the middle 48% contribute 25%, and 32% have a zero contribution.",analysis,analysis
2272,What attributes of cars owned by richer households contribute to higher CO2 emission intensity?,"Richer households generally own heavier, larger, and more powerful cars, which are attributes that correlate positively with the CO2 emission factor.",analysis,analysis
2279,How does the availability of a car correlate with being a woman?,"The availability of a car is negatively correlated with being a woman, meaning that women are less likely to have access to a car.",analysis,analysis
2281,What are some observations made about the correlations between employment characteristics and being a top emitter?,The correlations between employment characteristics and being a top emitter are consistent across the three pollutants. Many characteristics correlate positively with one channel of emission and negatively with another.,analysis,analysis
2282,How does living and working in the suburbs compared to living in the suburbs and working in Paris affect emissions?,"Living and working in the suburbs is associated with shorter distances travelled but a higher propensity to use the car, resulting in a higher likelihood of being a top emitter. Living in the suburbs and working in Paris is associated with shorter distances travelled but a lower propensity to use the car, resulting in a lower likelihood of being a top emitter.",analysis,analysis
2284,How does having atypical working hours affect emissions?,"Having atypical working hours, which is the case for 2.6% of employed individuals in the sample, increases the propensity to be a top emitter by around 5 percentage points. This is driven by a higher likelihood to use a car, as public transport may have limited availability at night or very early in the morning.",analysis,analysis
2289,What was the response rate for the survey on Yellow Vest participants?,The response rate for the survey on Yellow Vest participants was high at 87%.,strategy,analysis
2311,What are the positive effects of transportation on standards of life?,"Transportation connects people to places of education, work, health services, and recreation, thereby improving standards of life.",analysis,analysis
2321,What are some examples of less polluting transportation modes in the sustainable transportation model?,"Some examples of less polluting transportation modes in the sustainable transportation model include walking, cycling, and sailing.",science_and_tech,strategy
2332,How has smart transportation benefited the economy in the United Kingdom?,"Smart transportation measures in the UK have received investments for energy efficiency and waste management development, estimated at Â£100 million for London and Â£100 million for North West England. Additionally, a wireless electronic parking permit system implemented in New York saved the government USD $8 million from a mere USD $50,000 investment.",strategy,analysis
2337,How do hybrid vehicles contribute to reduced emissions?,"Hybrid vehicles partly use electricity, which helps to reduce emissions from motor vehicles.",science_and_tech,science_and_tech
2349,How did Copenhagen further boost the efficiency of cycling in the city?,"Copenhagen incorporated sensors along cycling lanes, prompting traffic lights to turn green when an influx of cyclists is detected, providing them with safe passage.",strategy,science_and_tech
2358,What is the most common means of transport used in most African countries?,Bicycles are considered to be the most common means of transport used in most African countries.,science_and_tech,science_and_tech
2360,What are some challenges women face when using public transport?,Some women find it difficult to use public transport due to security reasons.,strategy,analysis
2369,What are some challenges that women in Yemen and Gaza face when it comes to accessing public transport?,"Some challenges that women in Yemen and Gaza face when it comes to accessing public transport include costs, timing, and routing.",science_and_tech,strategy
2370,What are some key factors that affect levels of cycling among women in the Netherlands?,"The availability of favourable policies implemented by the government, such as incentivizing companies to pay people to cycle and promoting cycling to combat road congestion.",strategy,strategy
2386,What is Amanda Fabiano's view on the use of bicycles as a mode of transport in Uganda?,"Amanda Fabiano is a passionate advocate for the use of bicycles as a mode of transport in Uganda, particularly in the traffic-heavy capital, Kampala. She believes that bicycles are a better mode of transport for short distances despite the challenges in the country.",ethics_and_regulation,strategy
2391,What organization provided bicycles to schools in Kenya in 2016?,"The World Bicycle Relief, working with the Ministry of Education in Kenya, provided more than 3000 bicycles to various schools in Kenya in 2016.",science_and_tech,science_and_tech
2411,What factors were analysed by Grudging set al. in 2018 to understand why more women don't cycle?,Grudging set al. analysed the commuter cycling mode-share of female and male cyclists in England and Wales to understand why more women do not cycle.,analysis,analysis
2421,What is the purpose of applying DEA to road transport systems in OECD member countries?,The purpose of applying DEA to road transport systems in OECD member countries is to model environmental impacts and safety concerns as undesirable outputs and measure the performance of these systems.,strategy,strategy
2427,What are the different entities that can be assessed in transportation efficiency?,"The assessment can be conducted for various entities such as countries, regions, cities, companies, facilities, and routes.",strategy,strategy
2428,How do Shen et al. (2012) measure the road safety efficiency of European Union countries?,They use the number of road fatalities as the undesirable output and rank the countries based on the cross-efficiency DEA model.,strategy,analysis
2442,How many member countries were there in the OECD as of 2014?,There were 34 member countries in the OECD as of 2014.,science_and_tech,science_and_tech
2443,When did Slovakia become a member of the OECD?,"Slovakia became a member of the OECD at some point between 2000 and 2,014 as it is not specified in the given information.",science_and_tech,science_and_tech
2455,Which countries have the worst performance in terms of TEES?,"Canada, Iceland, and Latvia.",science_and_tech,analysis
2456,Which countries experience efficiency loss in TEES?,"Estonia, Hungary, and the United States.",science_and_tech,analysis
2458,What factors may affect sustainable transport efficiency?,Income and petrol price are noted to potentially affect both environmental impacts and safety in sustainable transport efficiency.,strategy,analysis
2482,What percentage of the country's total commercial energy is consumed by the transport sector?,More than half of the country's total commercial energy is consumed by the transport sector.,science_and_tech,analysis
2497,How did the population and urban population of the country change during 1990-1996?,The country's total population increased by 17% during this period. The urban population continued to increase rapidly by 49% mainly due to economic structural transformation and rural to urban migration.,analysis,analysis
2498,What were the growth rates of GDP and GDP per capita during the period of 1996-2006?,The GDP fell to 3.9% per year and GDP per capita fell to 1.5% per year during this period.,analysis,analysis
2499,How did the growth rates of urban population and motorized vehicles change from 1990-1996 to 1996-2006?,"The growth rates of both urban population and motorized vehicles declined in the 1996-2006 period compared to the 1990-1996 period, but they still remained significant.",analysis,analysis
2501,What factors have contributed to the increase in international air passengers in Nepal?,The number of international air passengers in Nepal grew by 13% per year from 2006 to 2012. This growth can be attributed to an increase in tourists visiting the country and the movement of migrant workers travelling overseas.,analysis,analysis
2513,What factors are considered in estimating road travel demand and energy use in Nepal?,"The factors considered in estimating road travel demand and energy use in Nepal include mode and technology choice, total distance travelled, driving style, vehicle occupancy, and fuel efficiency.",analysis,analysis
2515,What are the limitations of air transport in Nepal?,Air transport in Nepal provides limited services to key commercial and tourist areas.,ethics_and_regulation,analysis
2519,What factors contribute to the emissions of local air pollutants in transportation?,"The emissions of local air pollutants in transportation are influenced by factors such as the amount of fuel used, speed, acceleration, load on the vehicle, vehicle technology, and fuel type.",science_and_tech,analysis
2523,What is the estimated total road passenger travel demand in Nepal in 2013?,The estimated total road passenger travel demand in Nepal in 2013 is 54.7 billion km.,analysis,science_and_tech
2532,What vehicles dominate Nepal's freight demand?,"Trucks dominate Nepal's freight demand, accounting for 50% of the total. This is followed by tractors (33%), pick-ups (10%), mini trucks (4%), and others (3%).",science_and_tech,analysis
2537,Which region consumes the highest amount of energy in the transport sector?,The KTM region consumes the highest amount of energy in the transport sector.,science_and_tech,science_and_tech
2550,"In 2,010 how does the petrol pump price per capita of GDP in Nepal compare to other countries?","The petrol pump price per capita of GDP in Nepal is 60 times as high as in the USA, 21 times as high as in Japan, 7 times as high as in China, and 3 times as high as in India.",analysis,analysis
2551,"What factors contribute to the impracticality of private motorization use in urban areas, like in KTM?","Factors that contribute to the impracticality of private motorization use in urban areas include increasing costs of vehicle movement and storage, congestion, increasing feasibility of non-motorized transportation modes, and the viability of public transport.",analysis,analysis
2554,How does Nepal's level of energy use for road compare to other countries?,Nepal's road energy use index of 0.011 is at the bottom of the rankings compared to other developing and developed countries.,analysis,analysis
2557,What percentage of Nepal's strategic road network is paved?,Only 48% of Nepal's strategic road network (5585 km) is paved.,science_and_tech,science_and_tech
2565,What was the total CO2 emissions from the road transport sector in 2013?,"The total CO2 emissions from the road transport sector in 2013 was 464 kt for passenger public vehicles, 531 kt for passenger private vehicles, and 1195 kt for freight vehicles.",analysis,analysis
2592,What is the percentage of total energy consumption and total Gags attributed to the transport sector in the European Union?,"The transport sector in the European Union is responsible for 30% of total energy consumption and 20% of total Gags, with road transport accounting for 72% of this share.",analysis,analysis
2593,What are the total external costs of transport in urban areas of the EU?,"The total external costs of transport in urban areas of the EU amount to EUR 230 billion, including costs related to accidents, congestion, noise, CO2 emissions, and air quality.",analysis,science_and_tech
2598,What is the importance of considering a modal shift in urban transport modelling?,"It is important to consider a modal shift in urban transport modelling because it allows for the understanding of the potential impact of alternative modes of transportation, such as cycling, on the overall transportation system. This can lead to more sustainable and efficient transport planning and policymaking.",analysis,strategy
2601,What are some negative consequences of energy production and consumption related to transportation?,"The negative impact of motor vehicles arises from fuel consumption, the energy used to manufacture and maintain the vehicle, and the production and distribution of fuel.",analysis,analysis
2630,What was the mean absolute percentage error for the mean speed calculated from the observation data and the model results?,The mean absolute percentage error did not exceed 12% for the mean speed calculations.,analysis,analysis
2638,How are the parameters of the discrete choice model adjusted?,"The parameters of the discrete choice model are adjusted using the generalized extreme value (GEV) model, which is consistent with the principle of maximization of the stochastically defined utility function.",science_and_tech,science_and_tech
2639,Why is stochastic assignment more appropriate for bicycle trips?,"Stochastic assignment is more appropriate for bicycle trips because it reflects the process of individual discrete choice, which takes into account factors such as incomplete knowledge of the transport network, the need for variety, varying cycling times, different cycling habits, varying preferences, and different levels of tolerance to weather conditions.",science_and_tech,analysis
2654,Question 3: How many planning scenarios were analysed for the development of the bicycle network in Dania?,Six planning scenarios were analysed for the development of the bicycle network in Dania.,analysis,science_and_tech
2659,What factors do cyclists consider when choosing a route?,Cyclists prefer to be separated from car traffic and avoid having to cross the road within intersections.,analysis,strategy
2667,How does cycling influence the demand for motor vehicles and public transport?,Cycling influences the demand for motor vehicles and public transport by potentially reducing the need for these modes of transportation. This means that investment decisions regarding infrastructure and organizational measures for all modes of transport should take cycling into account.,analysis,strategy
2669,What is the main barrier to the application of this approach?,"The main barrier is the difficulty in obtaining data on vehicle traffic at the local level, particularly in Polish cities.",analysis,analysis
2670,How are the simulation results of the Dania model presented to citizens?,The simulation results of the Dania model are presented to citizens during meetings or through a dedicated website.,strategy,strategy
2671,How could the data calculated using the Dania model be used in the future?,The data calculated using the Dania model could potentially feed advanced solutions such as cyber-physical platforms for real-time management of smart cities. These platforms could use artificial intelligence methods to manage data and replicate transport model databases.,strategy,science_and_tech
2677,What are some data sources that can be used in machine learning models for estimating O-D matrices?,"Data from satellite navigation, mobile phones, or the Internet of Things can be used.",science_and_tech,science_and_tech
2679,How can GIS mapping systems improve the accuracy of calculating the length of links in transport networks?,"GIS mapping systems provide a more accurate calculation of the length of links by using precise geographical data, eliminating the need for manual estimation by modellers.",science_and_tech,science_and_tech
2680,What are some of the network inaccuracies that can affect the reliable replication of the transport system?,"Inaccurate or misrepresented links or intersection attributes, such as cycling speed, can affect the estimation of speed and travel time. Additionally, the lack of detail in regional or urban models, including the layout of local streets and the land-use mix, can hinder the consideration of local conditions for pedestrians and cyclists.",science_and_tech,analysis
2681,What further development is suggested for the presented model?,"The model should be further developed by taking into account different user groups, such as age or cycling experience.",strategy,strategy
2683,What factors does the logic model consider when making choices among available alternatives?,"The logic model assumes that the user chooses the option with the highest utility among the available alternatives. This means that factors such as convenience, habits, and other non-measurable random factors influencing the choice of means of transport are taken into account by the model.",science_and_tech,science_and_tech
2691,What type of surface do cyclists find most attractive?,"Cyclists find a smooth, even surface such as asphalt and smooth concrete blocks to be the most attractive.",science_and_tech,science_and_tech
2692,What factor was indirectly taken into account when assessing the attractiveness of bicycle routes?,The factor concerning traffic safety.,analysis,analysis
2703,Why is stochastic assignment more appropriate for bicycle trip assignment?,Stochastic assignment is more appropriate for bicycle trip assignment because it reflects the process of individual discrete choice. This is important for cyclists as they have a variety of individual choices when it comes to selecting a route.,analysis,science_and_tech
2711,What is the purpose of integrating LUTE models into sustainable urban mobility plans?,Integrating LUTE models into sustainable urban mobility plans helps measure the contribution of land use and transport policies to urban challenges.,strategy,strategy
2712,What are the guidelines for developing and implementing a sustainable urban mobility plan?,The guidelines for developing and implementing a sustainable urban mobility plan were published by the European Union in 2013.,strategy,strategy
2714,What are some resources that provide guidance on travel model validation and reasonability checking?,The Travel Model Improvement Program and the Cambridge Systematics Inc. provide resources and guidance on travel model validation and reasonability checking.,strategy,strategy
2715,What is the purpose of the Impacts of Cycling Tool (ICT) developed by Woodcock et al.?,The purpose of the Impacts of Cycling Tool (ICT) developed by Woodcock et al. is to evaluate the health and environmental impacts of cycling uptake.,science_and_tech,analysis
2717,What are the public health benefits of strategies to reduce greenhouse-gas emissions in urban land transport?,"Strategies to reduce greenhouse-gas emissions in urban land transport can have several public health benefits. Studies have shown that interventions to promote cycling and walking can lead to reductions in carbon dioxide emissions and contribute to improved air quality. This can have positive impacts on respiratory health and reduce the risk of cardiovascular diseases. Additionally, promoting active modes of transportation like cycling and walking can increase physical activity levels, leading to improved fitness and reduced risk of chronic diseases such as obesity, diabetes, and certain types of cancer.",analysis,analysis
2729,"What is the purpose of the book ""Tram?c Flow Theory""?","The purpose of the book ""Tram?c Flow Theory"" is to provide a comprehensive understanding of tram?c ?ow and its analysis.",science_and_tech,analysis
2732,How can policy-makers and mobility providers save bike-sharing according to Nikita's?,"According to Nikita's, policy-makers and mobility providers can save bike-sharing by using an evidence-based survival toolkit.",strategy,strategy
2734,What is the significance of the direct-demand model for bicycle counts?,The direct-demand model for bicycle counts provides insights into the impacts of level of service and other factors on bicycle usage.,analysis,analysis
2746,How does Green use automatic tracking to promote sustainable behaviours?,"Green uses automatic tracking to personalize behaviour recommendations and provide visual feedback that aims to reduce driving and encourage greener alternatives, such as carpooling, public transport, and pedestrian modalities. It also allows for validating the actual behaviour of the user.",science_and_tech,strategy
2763,Were there any statistically significant differences in CO2 emissions between different user groups?,"No, there were no statistically significant differences in CO2 emissions between different user groups.",analysis,analysis
2764,What did the subjects find most preferred about the application?,The subjects found the challenges to be the most preferred feature of the application.,analysis,analysis
2792,What are some examples of smart transportation applications that use unsupervised learning algorithms?,"Some examples include traffic flow prediction, transportation travel route evaluation, parking spaces forecasting, and bus arrival time prediction.",science_and_tech,science_and_tech
2796,Which databases were used to search for relevant publications?,"Google Scholar, IEEE Explore, and Scopus databases were used to search for relevant publications.",science_and_tech,science_and_tech
2798,What are some characteristics of smart cities discussed in the literature?,"Some characteristics of smart cities discussed in the literature include smart governance, smart communities, smart economy, smart environment, and smart mobility.",analysis,taxonomy
2802,"What are the three tiers in the cloud-based, smart car-parking transportation architecture proposed in [21]?","The three tiers in the cloud-based, smart car-parking transportation architecture proposed in [21] are the Cloud Tier, Web Servers Tier, and Mobile Applications Tier.",strategy,science_and_tech
2810,What features does the Tram?info application have?,"The Tram?info application has three main features: visualization, information sharing, and sensing.",strategy,science_and_tech
2811,What is the purpose of the crowdsourced public transportation system (Class) proposed in [31]?,The purpose of the Class is to utilize the idle capacity of CPTS vehicles and optimize the delivery of packages in a city-wide distribution system.,strategy,strategy
2818,How can visualization tools be used in SC's?,Visualization tools provide real-time information on coloured maps showing traffic flow in SC's.,science_and_tech,science_and_tech
2827,What is data analytics?,"Data analytics is the process of inspecting, selecting, transforming, governing, and representing data to discover useful information and assist decision-making systems.",science_and_tech,taxonomy
2828,How does transportation contribute to economic development?,"Transportation provides the means of movement of people and goods, which drives economic development.",science_and_tech,strategy
2833,How accurate is the method used in [90] to estimate taxi queues and wait times?,The method used in [90] to estimate taxi queues and wait times has an accuracy of over 90%.,analysis,analysis
2834,What were the two analytic applications demonstrated in [90] for city transportation service analytics?,The two analytic applications demonstrated in [90] were the taxi service analyser (TSA) and the subway boarding analyser (SBA).,analysis,analysis
2840,How much time was saved daily and weekly with the proposed model for 257 shuttle runs?,The proposed model made a saving of 308.4 min daily and 1542 min weekly.,analysis,science_and_tech
2843,How does Hadoop improve processing strength and flexibility?,"Hadoop enables the distribution of processing load among the nodes of a cluster, improving the overall processing strength.",analysis,science_and_tech
2863,How did the results of the experimental work in [169] compare to other traffic speed forecasting models?,The results of the experimental work in [169] showed that the proposed GRAN model outperformed other known state-of-the-art traffic speed forecasting models.,analysis,analysis
2864,What are the components of the proposed architecture for urban traffic flow prediction?,"The proposed architecture consists of an embedding component, a CNN component, and a LSTM component.",taxonomy,science_and_tech
2869,How does the two-step K-means clustering model capture passenger flow variation trends?,"The two-step K-means clustering model captures' passenger flow variation trends by first identifying clusters that represent different characteristics of rider ship volume. Then, a predictability assessment model recommends a reasonable time granularity interval to aggregate passenger flows. This information is then used in the CB-LSTM model to forecast short-term passenger flow based on the clustering outcomes and recommended time granularity interval.",science_and_tech,science_and_tech
2870,What were the experimental results of the DL-SVM model mentioned in [178]?,The experimental results showed that the DL-SVM model outperforms the other models in accuracy and stability for passenger flow prediction in urban rail transit.,analysis,analysis
2875,How was the controller performance tuned in the intelligent unidirectional and decentralized control method for vehicle platooning?,"The controller performance was tuned by hybridizing the FLC using GA and PID, and by the adaptation of FLC using neural networks to form the fuzzy x-tuned controllers to control the follower vehicles to attain their goals.",science_and_tech,science_and_tech
2881,What is the significance of smart cities in the future?,"Smart cities are important because they utilize technology to improve the quality of life for its residents and enhance efficiency in various aspects such as transportation, energy, and public services.",strategy,strategy
2886,What is the difference between sustainable cities and smart cities?,"Sustainable cities and smart cities have a common goal of improving urban living and environmental sustainability, but they differ in their approach. Sustainable cities focus on minimizing environmental impact and promoting social equity, while smart cities leverage technology and data to optimize infrastructure, services, and resource management.",taxonomy,taxonomy
2887,What is the importance of 3D model fusion in GIS systems?,"3D model fusion in GIS systems allows for a more comprehensive understanding of geographical data and its applications. It facilitates the integration of different 3D models, enabling users to analyse and visualize data in a more efficient and accurate manner.",science_and_tech,science_and_tech
2899,What are some essential factors of smart mobility?,"Some essential factors of smart mobility include reducing traffic congestion, implementing new route optimizations with reduced ecological footprint, promoting active mobility and inclusive mobility, encouraging the use of environmentally friendly fuels, and engaging with citizens.",strategy,strategy
2905,How will the evolution of smart mobility impact the transportation of goods?,"The evolution of smart mobility will result in the use of robots to deliver necessities to people's homes, causing businesses such as supermarkets and delivery services to adjust their operations.",strategy,strategy
2914,How are road intersections modelled in the traffic control system?,"Road intersections are modelled using smart agents such as ""View agents"" to count cars, ""Traffic Light agents"" to control the duration of traffic lights, and ""Intersection agents"" to control the duration of a particular traffic light.",analysis,science_and_tech
2925,What is one observation made about the current smart city initiatives?,It is observed that the current smart city initiatives have limited ICT deployment and poorly coordinated ICT related projects.,analysis,analysis
2927,How has the proposed methodology for quality of service been validated?,The proposed methodology for quality of service has been validated in the Italian region of Apulia.,strategy,science_and_tech
2929,What types of methods contribute to the overall mobility in the Senegalese city of Dakar?,"40% of the overall mobility in Dakar consists of motorized methods, while 60% consists of non-motorized methods.",science_and_tech,science_and_tech
2937,What are some major challenges related to smart cities and smart mobility?,"The major challenges related to smart cities and smart mobility include unequal geographic advancement, privacy concerns, and the lack of collaboration.",strategy,ethics_and_regulation
2938,What is the impact of growing broadband internet availability on sustainable mobility mode?,"The impact of growing broadband internet availability on sustainable mobility mode is analysed using a multivariate multiple regression model. It is observed that growing broadband internet availability decreases the use of active, public mobility means, while increasing the use of private commuting means.",analysis,analysis
2942,How does this methodology consider the different stakeholders in the assessment of public transport facilities?,"The methodology takes into account the perspectives and goals of various stakeholders involved in the planning and operation of public transport facilities, in order to provide a comprehensive assessment of their efficiency.",strategy,strategy
2946,"According to [7], what was concluded about the effect of responsible behaviour and the attitude of inhabitants on smart mobility initiatives?","According to [7], it was concluded that responsible behaviour and the attitude of the inhabitants have a positive effect on smart mobility initiatives.",analysis,analysis
2954,How does integrating smart mobility solutions in a smart city ecosystem benefit the citizens and the environment?,"Integrating smart mobility solutions in a smart city ecosystem ensures quality service to the citizens while minimizing the impact on the surrounding environment. This is achieved by providing real-time information systems, predictive maintenance, and intelligent parking management.",analysis,strategy
2960,How can real-time data collection and monitoring contribute to intelligent parking management and traffic management?,"Real-time data collection and monitoring can provide insights into the availability of parking slots at various locations, allowing for efficient parking management. It can also help in monitoring traffic in real-time, allowing for the avoidance of congestion and the ability to send notifications to connected vehicles about parking availability and alternate routes.",strategy,science_and_tech
2964,How does vehicle to cloud storage connectivity benefit smart mobility solutions?,"Vehicle to cloud storage connectivity enables real-time information sharing, storage, and processing, which helps in optimizing smart mobility solutions.",science_and_tech,science_and_tech
